Comment,Emotion
im so full of life i feel appalled,anger
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger
when a friend of mine keeps telling me morbid things that happened to his dog,anger
i finally fell asleep feeling angry useless and still full of anxiety,anger
i feel a bit annoyed and antsy in a good way,anger
i feel like i ve regained another vital part of my life which is living,joy
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy
i just try not to talk to anyone when i feel irritable like that,anger
i feel like they hated me since then,anger
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy
i feel much better and without the help of ice,joy
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger
i stropped about for a bit feeling grumpy because i was missing out,anger
i have a feeling i shall go mad,anger
i am happpy when i get good results in the field of academics or athletics,joy
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy
i feel so grouchy and irritable when im sick,anger
i expect and i feel content with that,joy
i feel amused at the absurdity of it all,joy
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy
i would feel joyful,joy
at a certain situation i felt myself neglected and undeservedly harmed,anger
i felt good and feel fine today too,joy
